Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Idustry,FF,Ticker,
ROPER TECHNOLOGIES INC .45% DU,0.45,8/15/2022,"30,000.00","29,973.90","30,019.70",Conglonmerate,0,NYSE: ROP,
ROPER TECHNOLOGIES INC 2.35% D,2.35,9/15/2024,"110,000.00","109,796.50","115,363.52",Conglonmerate,0,NYSE: ROP,
ROYAL BANK OF CANADA 1.95% DUE,1.95,1/17/2023,"200,000.00","199,878.00","204,962.00",financial services,0,NYSE: RY,
ROYAL BK CDA GLOBAL MEDIUM TER,1.15,6/10/2025,"200,000.00","199,304.00","201,068.19",financial services,0,0,
SALESFORCE.COM INC .625% DUE 0,0.00,7/15/2024,"160,000.00","159,918.40","160,065.52",cloud computing enterprise software,0,NYSE: CRM,
SCHWAB CHARLES CORP FLTG DUE 0,0.55,3/18/2024,"390,000.00","390,000.00","392,831.40",financial services,0,NYSE: SCHW,
SCHWAB CHARLES CORP NEW 2.65%,2.65,1/25/2023,"60,000.00","60,424.20","62,023.43",financial services,0,NYSE: SCHW,
SIEMENS FINANCIERINGSMAATSCHAP,0.46,3/11/2024,"500,000.00","500,000.00","503,525.00",conglomerate,0,FWB: SIE,
SIMON PPTY GROUP FIXED 2% 09-1,2.00,9/13/2024,"430,000.00","429,574.30","445,378.95",real estate investment trust,0,NYSE: SPG,
SKYWORKS SOLUTIONS INC .9% 06-,0.90,6/1/2023,"380,000.00","379,886.00","381,129.94",semiconductor,0,Nasdaq: SWKS,
SOUTHWEST AIRLS CO 4.75% DUE 0,4.75,5/4/2023,"210,000.00","227,171.70","225,274.88",airlines,0,NYSE: LUV,
STATE STR CORP 2.354% DUE,2.35,11/1/2025,"350,000.00","351,474.50","367,867.77",financial services,0,NYSE: STT,
STRYKER CORP .6% DUE,0.60,12/1/2023,"100,000.00","99,913.00","99,919.47",Medical technology,0,NYSE: SYK,
SUMITOMO MITSUI FINL GROUP INC,2.45,9/27/2024,"300,000.00","300,000.00","314,679.21",financial services,0,NYSE: SMFG,
SWEDBANK AB 18/03/2024 .85% 03,0.85,3/18/2024,"1,000,000.00","999,410.00","1,003,280.12",financial services,0,SWED,
SWEDBANK AB MEDIUM TERM NTS BO,1.30,6/2/2023,"200,000.00","199,766.00","202,950.70",financial services,0,SWED,
TD AMERITRADE HLDG CORP 2.95%,2.95,4/1/2022,"70,000.00","68,600.00","71,118.89",financial services,0,NYSE: AMTD,
TORONTO DOMINION BK SR MEDIUM,0.75,6/12/2023,"200,000.00","199,852.00","201,381.13",banking,0,NYSE: TD,
TORONTO-DOMINION BANK 2.65%,2.65,6/12/2024,"220,000.00","219,969.20","232,864.08",subsidary,0,NYSE: TD,
TOYOTA MTR CORP 2.358% DUE,2.36,7/2/2024,"10,000.00","10,000.00","10,533.60",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,1.35,8/25/2023,"290,000.00","289,892.70","295,745.15",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.34,6/13/2022,"200,000.00","200,000.00","200,242.00",automotive,0,NYSE: TM,
TYSON FOODS INC 4.5% DUE,4.50,6/15/2022,"270,000.00","279,809.10","277,759.78",food processing,0,NYSE: TSN,
UBS GROUP AG 1.008% DUE,1.01,7/30/2024,"420,000.00","420,000.00","423,024.73",Research support,0,NYSE: USB,
UNITED PARCEL SVC INC 2.2% DUE,2.20,9/1/2024,"250,000.00","249,785.00","261,878.38",courier,0,NYSE: UPS,
UNITED PARCEL SVC INC 2.8% DUE,2.80,11/15/2024,"20,000.00","20,718.40","21,342.49",courier,0,NYSE: UPS,
UNITEDHEALTH GROUP INC 2.375%,2.38,8/15/2024,"40,000.00","39,990.00","42,077.36",Managed Healthcare Insurance,0,NYSE: UNH,
VALERO ENERGY CORP NEW 1.2% DU,1.20,3/15/2024,"660,000.00","659,544.60","665,710.08",Oil and gas,1,NYSE: VLO,
VERIZON COMMUNICATIONS INC .75,0.75,3/22/2024,"40,000.00","39,997.60","40,171.91",Telecommunications mass media,0,NYSE: VZ,
VERIZON COMMUNICATIONS INC .85,0.85,11/20/2025,"180,000.00","179,982.00","178,029.04",Telecommunications mass media,0,NYSE: VZ,
WASTE MGMT INC DEL .75% DUE,0.75,11/15/2025,"130,000.00","129,777.70","128,759.86",waste management,0,NYSE: WM,
WEC ENERGY GROUP INC 0.8% DUE,0.80,3/15/2024,"180,000.00","179,926.20","180,415.13",diversified utilites,0,NYSE: WEC,
WELLS FARGO & CO MEDIUM TERM S,0.81,5/19/2025,"80,000.00","80,000.00","79,825.09",financial services,0,NYSE: WEC,
WELLTOWER INC 3.625% DUE,3.63,3/15/2024,"280,000.00","293,367.20","300,207.46",real estate investment trust,0,NYSE: WELL,
WESTPAC BKG CORP 2.35% DUE 02-,2.35,2/19/2025,"275,000.00","274,923.00","289,183.88","banking, financial services",0,ASX: WBC,
XCEL ENERGY INC .5% DUE,0.50,10/15/2023,"130,000.00","129,877.80","129,973.19","electricity, steam and natural gas utility",1,Nasdaq: XEL,
Municipal Bonds,,,,,,,,,
CALIFORNIA ST 2.5% DUE 10-01-2,2.5,10/1/2022,"180,000.00","183,690.00","185,165.77",,,,
NEW YORK N Y TAXABLE-FISCAL 20,0.59,8/1/2023,"200,000.00","200,000.00","200,812.08",,,,
NEW YORK ST TWY AUTH GEN REV 2,2.12,1/1/2024,"160,000.00","160,000.00","165,745.36",,,,
U.S. Agency Bonds,,,,,,,,,
FEDERAL HOME LN MTG CORP 0.125,0.13,7/25/2022,"500,000.00","498,870.00","500,108.50",,,,
FEDERAL HOME LN MTG CORP POOL,1.75,6/1/2043,"46,842.32","47,552.29","48,763.65",,,,
FEDERAL HOME LN MTG CORP POOL,2.50,4/1/2028,"118,540.18","119,855.22","124,394.47",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,4/1/2032,"116,090.46","122,838.22","122,748.92",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,6/1/2032,"168,786.97","178,597.71","178,444.50",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,2/1/2032,"591,124.71","607,426.82","625,450.03",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,12/1/2032,"291,463.23","299,728.95","308,171.58",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,9/1/2032,"465,270.37","492,241.51","491,917.09",,,,
FEDERAL HOME LN MTG CORP POOL,2.50,2/1/2028,"182,440.52","184,435.98","191,577.84",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,11/1/2032,"288,735.78","305,699.01","305,886.23",,,,
FEDERAL HOME LN MTG CORP POOL,2.50,4/1/2028,"21,097.25","22,010.37","22,147.31",,,,
FEDERAL HOME LN MTG CORP POOL,3.00,2/1/2031,"265,444.58","273,822.68","280,818.39",,,,
FEDERAL HOME LN MTG CORP POOL,2.50,11/1/2032,"354,844.16","370,701.26","371,373.70",,,,
FEDERAL HOME LN MTG CORP POOL#,3.00,2/1/2032,"212,889.20","218,544.06","225,070.03",,,,
FEDERAL NATL MTG ASSN GTD MTG,2.52,9/1/2037,"123,009.88","131,543.68","130,750.38",,,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,,
FHLMC MULTICLASS SER 4835 CL C,3.5,1/15/2047,"175,347.23","184,991.33","183,865.04",,,,
FHLMC POOL#SB0093 2.5% 12-01-2,2.50,12/1/2031,"926,718.29","972,185.40","970,362.17",,,,
FNMA POOL #253265 7.5% DUE 05-,7.50,5/1/2030,"3,410.17","3,482.88","3,839.54",,,,
FNMA POOL #783575 3.747% DUE 1,2.09,12/1/2034,"28,324.79","28,431.00","29,579.94",,,,
FNMA POOL #797393 3.67% DUE 12,2.02,12/1/2034,"18,915.29","19,045.34","19,905.87",,,,
FNMA POOL #BA6574 3.0% DUE 01-,3.00,1/1/2031,"299,259.27","308,891.68","316,540.05",,,,
FNMA POOL #BC0266 3.5% DUE 02-,3.50,2/1/2031,"184,168.65","191,967.03","199,115.19",,,,
FNMA POOL #BC1465 2.5% DUE 07-,2.50,7/1/2031,"157,244.48","160,045.39","164,740.34",,,,
FNMA POOL #BE0514 2.5% DUE 11-,2.50,11/1/2031,"311,062.10","326,177.78","325,934.71",,,,
FNMA POOL #BM1239 3.5% DUE 02-,3.50,2/1/2032,"228,822.71","238,368.90","247,066.62",,,,
FNMA POOL #BM4485 3.0% DUE 09-,3.00,9/1/2030,"385,226.73","396,516.15","407,116.24",,,,
FNMA POOL #BM5017 3.0% DUE 03-,3.00,3/1/2030,"197,050.51","202,500.20","208,240.79",,,,
FNMA POOL #BM5708 3.0% DUE 12-,3.00,12/1/2029,"184,968.49","189,361.49","195,214.40",,,,
FNMA POOL #FM1849 3.5% 12-01-2,3.50,12/1/2033,"187,398.75","195,041.11","201,324.87",,,,
FNMA POOL #FM1852 3.0% DUE 07-,3.00,7/1/2033,"229,006.41","235,554.56","241,950.35",,,,
FNMA POOL #FM1897 3.0% 09-01-2,3.00,9/1/2032,"197,119.65","202,756.05","207,499.83",,,,
FNMA POOL #FM3308 3.0% DUE 04-,3.00,4/1/2032,"613,563.51","649,461.62","648,100.99",,,,
FNMA POOL #MA3090 3.0% DUE 08-,3.00,8/1/2032,"34,097.51","36,201.96","36,115.77",,,,
FNMA POOL POOL #FM1773 3.0% DU,3.00,12/1/2031,"190,657.61","195,662.37","201,394.57",,,,
FNMA SER 2012-28 CL B 6.5% DUE,6.50,6/25/2039,"3,498.54","4,088.91","3,829.58",,,,
FNMA TRANCHE 1.625% DUE 10-15-,1.63,10/15/2024,"700,000.00","698,803.00","725,069.11",,,,
GNMA 2011-H07 REMIC PASSTHRU C,0.61,2/20/1961,"94,006.14","94,006.14","94,334.48",,,,
GNMA 2013-H22 REMIC CL FB FLT,0.81,8/20/1963,"255,440.53","255,440.53","257,362.52",,,,
GNMA POOL #781199 7.5% DUE 07-,7.50,7/15/2030,"11,077.80","11,351.28","12,699.94",,,,
GNMA REMIC SER 2013-H08 CL BF,0.51,3/20/1963,"145,571.70","144,689.24","145,925.44",,,,
International Government Bonds,,,,,,,,,
EUROPEAN INVT BK FIXED 1.375%,1.38,9/6/2022,"110,000.00","109,655.70","111,514.49",,,,
EUROPEAN INVT BK NT 144A .375%,0.38,7/24/2024,"500,000.00","498,215.00","497,940.00",,,,
JAPAN BK INTL COOPERATION GTD,1.63,10/17/2022,"200,000.00","199,446.00","203,330.92",,,,
PVTPL KOMMUNALBANKEN AS MEDIUM,0.38,9/11/2025,"200,000.00","199,170.00","196,356.00",,,,
JAPAN FIN ORGANIZATION FOR MUN,1.75,9/5/2024,"230,000.00","229,747.00","237,086.09",,,,
U.S. Treasury Securities,,,,,,,,,
UNITED STATES TREAS NTS 2.25%,2.25,4/15/2022,"520,700.00","520,288.08","529,608.85",,,,
UNITED STATES TREAS NTS 2.875%,2.88,10/15/2021,"2,844,300.00","2,849,051.64","2,867,523.57",,,,
UNITED STATES TREAS NTS DTD 01,2.50,1/15/2022,"2,011,600.00","2,013,139.35","2,038,002.25",,,,
UNITED STATES TREAS NTS DTD 07,2.63,7/15/2021,"3,839,300.00","3,833,753.56","3,843,129.93",,,,
UNITED STS TREAS NTS DTD 08/15,0.13,8/15/2023,"6,000,000.00","5,989,921.88","5,981,484.36",,,,
UNITED STS TREAS NTS UNITED ST,0.13,10/15/2023,"3,000,000.00","2,995,195.31","2,987,109.36",,,,
US TREAS NTS DTD 03-15-2019 2.,2.38,3/15/2022,"648,900.00","651,492.78","659,444.63",,,,
WI TREASURY SEC .125% DUE 05-3,0.13,5/31/2022,"2,000,000.00","1,997,656.25","2,000,625.00",,,,
WI TREASURY SEC .125% DUE 05-3,0.13,5/31/2022,"2,000,000.00","1,997,656.25","2,000,625.00",,,,
