Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
HSBC HLDGS PLC 2.099% DUE,2.10,6/4/2026,"200,000.00","200,000.00","205,533.37",	Financial services,0,NYSE: HSBC
HSBC HLDGS PLC 2.633% DUE,2.63,11/7/2025,"300,000.00","314,232.00","314,859.97",	Financial services,0,NYSE: HSBC
HSBC HLDGS PLC 3.262%,3.26,3/13/2023,"400,000.00","400,000.00","408,080.44",	Financial services,0,NYSE: HSBC
INTERNATIONAL BUSINESS MACHS C,2.88,11/9/2022,"100,000.00","98,213.00","103,477.95",	Automation,0,	NYSE: IBM
INTERSTATE PWR & LT CO 3.25% D,3.25,12/1/2024,"130,000.00","140,285.60","139,792.39",	utilities,1,	Nasdaq: LNT
JPMORGAN CHASE & CO .824%,0.82,6/1/2025,"310,000.00","310,000.00","309,405.84",	Financial services,0,	NYSE: JPM
JPMORGAN CHASE & CO .969% DUE,0.97,6/23/2025,"210,000.00","210,000.00","210,248.15",	Financial services,0,	NYSE: JPM
JPMORGAN CHASE & CO 1.514% DUE,1.51,6/1/2024,"500,000.00","500,000.00","509,858.24",	Financial services,0,	NYSE: JPM
JPMORGAN CHASE & CO 3.22% DUE,3.22,3/1/2025,"130,000.00","140,496.20","138,102.98",	Financial services,0,	NYSE: JPM
JPMORGAN CHASE & CO 4.023% DUE,4.02,12/5/2024,"140,000.00","154,523.60","151,105.80",	Financial services,0,	NYSE: JPM
JPMORGAN CHASE & CO NT FIXED/F,3.21,4/1/2023,"410,000.00","410,000.00","418,899.03",	Financial services,0,	NYSE: JPM
KAISER FOUNDATION HOSPITAL 3.5,3.50,4/1/2022,"500,000.00","519,181.11","511,371.23",	Healthcare,0,NYSE: KGHI
KANSAS CITY POWER & LT 3.65% D,3.65,8/15/2025,"150,000.00","167,010.00","164,670.91",	Electric utility,1,NYSE: EVRG
KLA CORP 4.65% DUE 11-01-2024/,4.65,11/1/2024,"110,000.00","123,334.20","122,795.39",	Semiconductors,0,Nasdaq: KLAC
LELAND STANFORD JR UNIV CALIF,6.88,2/1/2024,"180,000.00","213,697.80","208,813.40",Education,0,N/A
LULWA LTD 1.888% DUE 02-15-202,1.89,2/15/2025,"641,736.71","656,464.57","658,338.66",,,
M & T BK CORP SR NT FLTG DUE,0.86,7/26/2023,"110,000.00","110,000.00","111,133.08","	Banking
Financial services",0,	NYSE: MTB
MARSH & MCLENNAN COS INC 3.875,3.88,3/15/2024,"90,000.00","89,950.50","97,617.98","	Insurance brokers
Professional services",0,	NYSE: MMC
MARTIN MARIETTA MATLS INC .65%,0.00,7/15/2023,"140,000.00","139,983.20","140,316.24","	Insurance brokers
Professional services",0,	NYSE: MMC
MARTIN MARIETTA MATLS INC 4.25,4.25,7/2/2024,"80,000.00","88,333.60","87,200.94","	Insurance brokers
Professional services",0,	NYSE: MMC
MCCORMICK & CO INC 2.7% DUE,2.70,8/15/2022,"475,000.00","473,692.20","486,263.33",	Processed & Packaged goods,0,NYSE: MKC.V
MITSUBISHI UFJ FINL GROUP INC,0.85,9/15/2024,"200,000.00","200,000.00","201,058.46","	Banking, Financial services",0,NYSE: MUFG
MITSUBISHI UFJ FINL GROUP INC,1.41,7/17/2025,"200,000.00","200,000.00","201,909.70","	Banking, Financial services",0,NYSE: MUFG
MITSUBISHI UFJ FINL GROUP INC,3.54,7/26/2021,"240,000.00","240,000.00","240,535.14","	Banking, Financial services",0,NYSE: MUFG
MITSUBISHI UFJ FINL GROUP INC,3.22,3/7/2022,"410,000.00","410,000.00","418,370.51","	Banking, Financial services",0,NYSE: MUFG
MITSUBISHI UFJ FINL GROUP INC,1.04,7/26/2023,"80,000.00","80,199.20","81,071.88","	Banking, Financial services",0,NYSE: MUFG
MONDELEZ INTL HLDGS NETH B V 2,2.13,9/19/2022,"200,000.00","199,948.00","204,136.76",Food processing,0,	Nasdaq: MDLZ
MONDELEZ INTL INC .625% DUE 07,0.63,7/1/2022,"300,000.00","299,958.00","301,158.03",Food processing,0,	Nasdaq: MDLZ
MORGAN STANLEY 2.625% DUE 11-1,2.63,11/17/2021,"300,000.00","298,467.00","302,705.69",	Financial services,0,	NYSE: MS
MORGAN STANLEY 3.75% DUE 02-25,3.75,2/25/2023,"400,000.00","422,608.00","421,525.36",	Financial services,0,	NYSE: MS
MORGAN STANLEY 3.875% DUE,3.88,4/29/2024,"400,000.00","444,824.00","435,049.38",	Financial services,0,	NYSE: MS
MORGAN STANLEY 4.0% DUE 07-23-,4.00,7/23/2025,"245,000.00","256,556.65","272,502.65",	Financial services,0,	NYSE: MS
MPLX LP BNDS 3.375% DUE 03-15-,3.38,3/15/2023,"305,000.00","314,354.75","318,876.11",	Petroleum,1,	NYSE: MPC
NEXTERA ENERGY CA .00065%,0.65,3/1/2023,"180,000.00","179,982.00","180,734.60","	Electric power industry
Energy development
Renewable energy",0,	NYSE: NEE
NEXTERA ENERGY CAP HLDGS INC 2,2.40,9/1/2021,"240,000.00","240,588.00","240,868.69","	Electric power industry
Energy development
Renewable energy",0,	NYSE: NEE
NEXTERA ENERGY CAP HLDGS INC 2,2.90,4/1/2022,"300,000.00","299,718.00","305,990.92","	Electric power industry
Energy development
Renewable energy",0,	NYSE: NEE
NORTHERN STS PWR CO MINN 2.15%,2.15,8/15/2022,"420,000.00","403,905.60","424,780.78", electric and natural gas,1,NYSE: NSP
NORTHROP GRUMMAN 2.93% DUE 01-,2.93,1/15/2025,"70,000.00","74,864.30","74,625.93","	Arms
Aerospace",0,	NYSE: NOC
NORTHWESTERN CORP 1.0% DUE 03-,1.00,3/26/2024,"170,000.00","169,855.50","167,795.29",	Utilities,1,	Nasdaq: NWE
NTT FIN CORP .583% 03-01-2024,0.58,3/1/2024,"300,000.00","300,000.00","299,566.47",	Telecommunications,0,NYSE: NTT
NUTRIEN LTD 1.9% DUE 05-13-202,1.90,5/13/2023,"130,000.00","129,883.00","133,167.81",	Agriculture,0,	TSX: NTR
OKLAHOMA GAS & ELEC CO .553% 0,0.55,5/26/2023,"100,000.00","100,000.00","100,003.21","	Energy, Natural Gas, Private utility",1,	NYSE: OGE
ONCOR ELEC DELIVERY CO LLC 2.9,2.95,4/1/2025,"400,000.00","427,028.00","427,565.38",	Utility,1,NYSE: ONCOR 
ORACLE CORP 1.65% 03-25-2026,1.65,3/25/2026,"260,000.00","259,875.20","263,552.15","	Enterprise software
Cloud computing
Computer hardware",0,"
NYSE: ORCL"
ORACLE CORP 2.5% DUE,2.50,5/15/2022,"540,000.00","538,200.70","548,353.61","	Enterprise software
Cloud computing
Computer hardware",0,"
NYSE: ORCL"
PACIFIC LIFE GLOBAL FDG II MED,1.20,6/24/2025,"120,000.00","121,662.00","120,283.14",	Financial services,0,NYSE: PSF
PACIFICORP 3.6% DUE,3.60,4/1/2024,"200,000.00","215,700.00","214,396.28",	Electricity,1,NYSE: PPWLM
PACKAGING CORP OF AMERICA 4.5%,4.50,11/1/2023,"210,000.00","219,185.40","226,880.30",	Packaging and containers,0,	NYSE: PKG
PARKER-HANNIFIN CORP  BOO,3.30,11/21/2024,"110,000.00","118,829.70","118,164.75",	Manufacturing,0,	NYSE: PH
PARKER-HANNIFIN CORP 2.7% DUE,2.70,6/14/2024,"80,000.00","79,963.20","84,289.04",	Manufacturing,0,	NYSE: PH
PARKER-HANNIFIN CORP MEDIUM TE,3.50,9/15/2022,"110,000.00","110,486.20","114,090.08",	Manufacturing,0,	NYSE: PH
PAYPAL HLDGS INC 1.35% DUE 06-,1.35,6/1/2023,"80,000.00","79,926.40","81,416.83",	Financial technology,0,	Nasdaq: PYPL
PEACEHEALTH 1.375% DUE,1.38,11/15/2025,"240,000.00","240,838.25","242,306.90",	Healthcare,0,NA
PENTA AIRCRAFT LEASING 2013 LL,2.65,11/25/2025,"224,939.99","236,801.75","235,492.45", Aviation,0,NA
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
PHILLIPS 66 3.85% DUE 04-09-20,3.85,4/9/2025,"180,000.00","201,907.80","198,079.90",	Oil and gas,1,	NYSE: PSX
PHILLIPS 66 4.3% DUE 04-01-202,4.30,4/1/2022,"239,000.00","252,742.15","245,927.51",	Oil and gas,1,	NYSE: PSX
PIONEER NAT RES CO .55% DUE 05,0.55,5/15/2023,"80,000.00","79,995.20","80,076.41",	Petroleum industry,1,	NYSE: PXD
PIONEER NAT RES CO .75% DUE 01,0.75,1/15/2024,"160,000.00","159,934.40","159,852.98",	Petroleum industry,1,	NYSE: PXD
PNC BK N A PITTSBURGH PA MEDIUM,2.03,12/9/2022,"370,000.00","370,000.00","372,676.26","	Banking
Financial services",0,	NYSE: PNC
PUBLIC SVC CO N H 3.5% DUE,3.50,11/1/2023,"400,000.00","421,764.00","425,057.22",        Utilities,1,        NYSE: PEG
PUBLIC SVC ELEC GAS CO SECD ME,2.38,5/15/2023,"330,000.00","330,089.30","340,852.18",	Utilities,1,	NYSE: PEG
PVPTL CREDIT SUISSE GROUP AG S,1.32,12/14/2023,"445,000.00","445,000.00","449,693.58",	Financial services,0,NYSE: CS
PVT PL BNP PARIBAS SR NON PFD,4.71,1/10/2025,"230,000.00","239,402.40","250,929.20",	Financial services,0,	Euronext: BNP
PVTPL ABBVIE INC 2.15% DUE 11-,2.15,11/19/2021,"370,000.00","376,270.18","372,687.42",	Biopharmaceutical,0,	NYSE: ABBV
PVTPL BAYER US FIN II LLC,4.25,12/15/2025,"200,000.00","223,526.00","222,869.30","	Life sciences
Pharmaceuticals
Chemicals",0,	FWB: BAYN
PVTPL BMW US CAP LLC GTD NT 2.,2.95,4/14/2022,"630,000.00","630,000.00","643,543.94",	Automotive,0,	FWB: BMW
PVTPL BNP PARIBAS SR NON PFD 1,2.82,11/19/2025,"400,000.00","425,900.00","420,856.56",Financial services,0,	Euronext: BNP
PVTPL BRISTOL MYERS SQUIBB CO,2.90,7/26/2024,"39,000.00","42,274.56","41,604.74",	Pharmaceuticals,0,	NYSE: BMY
PVTPL CARGILL INC NT 144A 3.25,3.25,11/15/2021,"230,000.00","231,092.50","232,650.20",	Conglomerate,0,N/A
PVTPL CARRIER GLOBAL CORP NT 1,2.24,2/15/2025,"180,000.00","188,925.58","187,158.52",	Home appliances,0,NYSE: CARR
PVTPL CRH AMERICA INC BNDS 3.8,3.88,5/18/2025,"220,000.00","237,366.80","241,095.95",Building materials,0,NYSE: CRH
PVTPL DAIMLER FIN NORTH AMER L,1.75,3/10/2023,"605,000.00","603,874.70","617,458.24",	Automotive,0,	FWB: DAI
PVTPL EAST OHIO GAS CO 1.3% DU,1.30,6/15/2025,"30,000.00","29,969.70","30,271.76",	Utilities,1,N/A
PVTPL FEDERATION DES CAISSES D,0.45,10/7/2023,"520,000.00","519,365.60","519,828.10",	Financial services,0,N/A
PVTPL HP INC 1.45% DUE 06-17-2,1.45,6/17/2026,"140,000.00","139,731.20","138,961.36","Computer hardware, printers",0,NYSE: HPQ
PVTPL JACKSON NATL LIFE GLOBAL,3.30,2/1/2022,"140,000.00","139,872.60","142,470.84",	Financial services,0,NYSE: JXN
PVTPL MONONGAHELA PWR CO 1ST M,4.10,4/15/2024,"170,000.00","178,802.60","182,972.98",	Utility,0,NYSE: AYE
PVTPL NEW YORK LIFE GLOBAL FDG,2.00,1/22/2025,"100,000.00","103,286.00","103,658.81",Insurance: life and annuity,0,N/A
PVTPL NEW YORK LIFE GLOBAL FDG,2.88,4/10/2024,"260,000.00","276,393.00","276,009.14",Insurance: life and annuity,0,N/A
PVTPL NORTHWESTERN MUT GLOBAL,0.80,1/14/2026,"200,000.00","199,648.00","196,864.36",	Financial services,0,NYSE: NWE
PVTPL NORTHWESTERN MUTUAL GLBL,0.60,3/25/2024,"120,000.00","119,996.40","119,918.74",	Financial services,0,NYSE: NWE
PVTPL OTIS WORLDWIDE CORP FLTG,0.64,4/5/2023,"160,000.00","159,916.80","160,013.10",	Transport systems,0,	NYSE: OTIS
PVTPL OTIS WORLDWIDE CORP NT 1,2.06,4/5/2025,"100,000.00","105,520.46","103,892.80",	Transport systems,0,	NYSE: OTIS
PVTPL PACIFIC LIFE GLOBAL FDG,0.50,9/23/2023,"290,000.00","289,637.50","290,314.25",Utilities,1,      NYSE: PEG
PVTPL RAYTHEON TECHNOLOGIES CO,3.20,3/15/2024,"90,000.00","96,984.51","95,740.72","	Aerospace
Defense
Information Security
Electronics",0,NYSE: RTX
PVTPL SCHLUMBERGER FIN CDA LTD,2.65,11/20/2022,"60,000.00","60,229.20","61,674.61",	Oilfield services & equipment,1,	NYSE: SLB
PVTPL SOUTHERN NAT GAS CO L L,0.63,4/28/2023,"55,000.00","54,991.20","55,051.70",	Natural Gas,1,NYSE: SO
PVTPL VOLKSWAGEN GROUP AMER FI,2.70,9/26/2022,"200,000.00","199,926.00","205,544.44",	Automotive,0,	FWB: VOW
RABOBANK NEDERLAND GLOBAL MEDI,1.01,9/26/2023,"250,000.00","250,000.00","253,415.17",	Financial services,0,NA
RABOBANK NEDERLAND GLOBAL MEDI,2.63,7/22/2024,"290,000.00","289,312.70","305,343.13",Financial services,0,NA
RECKITT BENCKISER TREAS SVCS P,2.75,6/26/2024,"220,000.00","218,088.20","232,295.92",Healthcare and food products,0,PSM: XLOM
REGIONS FINL CORP NEW 2.25% DU,2.25,5/18/2025,"70,000.00","69,786.50","72,891.06",        Financial services,0,        NYSE: RF
REGIONS FINL CORP NEW 3.8% DUE,3.80,8/14/2023,"100,000.00","100,155.20","106,624.46",     Financial services,0,      NYSE: RF
RELIANCE INDS LTD 1.87% DUE,1.87,1/15/2026,"484,210.57","484,210.57","498,094.11",Conglomerate,0,NSE: RELIANCE
RELX CAP INC 3.5% DUE,3.50,3/16/2023,"300,000.00","311,058.00","314,558.76",	Information and analytics,0,	LSE: REL
RIMON LLC 2.623% DUE,2.62,6/25/2026,"731,309.31","774,456.57","768,091.59",Law Firm,0,NA
ROCK-TENN CO 4.9% DUE 03-01-20,4.90,3/1/2022,"170,000.00","179,486.00","174,897.74",	Paper and Packaging,0,NA
ROPER TECHNOLOGIES INC .45% DU,0.45,8/15/2022,"80,000.00","79,930.40","80,052.53",        Conglomerate,0,        NYSE: ROP
ROPER TECHNOLOGIES INC 1.0% DU,1.00,9/15/2025,"150,000.00","150,903.00","149,240.64",      Conglomerate,0,NYSE: ROP
ROPER TECHNOLOGIES INC 2.35% D,2.35,9/15/2024,"70,000.00","69,870.50","73,413.15",      Conglomerate,0,NYSE: ROP
ROPER TECHNOLOGIES INC 3.65%,3.65,9/15/2023,"410,000.00","433,968.60","437,884.78",      Conglomerate,0,NYSE: ROP
ROYAL BK CANADA 3.7%,3.70,10/5/2023,"110,000.00","118,889.10","118,010.20",        Financial services,0,NYSE: RY
ROYAL BK CDA FLTG RT,0.85,10/5/2023,"330,000.00","330,000.00","333,913.23",Financial services,0,NYSE: RY
ROYAL BK CDA GLOBAL MEDIUM TER,1.15,6/10/2025,"220,000.00","221,150.60","221,175.01",Financial services,0,NYSE: RY
RYDER SYS INC FIXED 2.875%,2.88,6/1/2022,"200,000.00","199,884.00","204,235.44",	Transportation,0,	NYSE: R
SCHLUMBERGER FIN CDA LTD 1.4%,1.40,9/17/2025,"150,000.00","149,820.00","151,648.19",	Oilfield services & equipment,1,NYSE: SLB
SCHWAB CHARLES CORP 0.75% DUE,0.75,3/18/2024,"250,000.00","249,875.00","251,414.37",	Financial services,0,	NYSE: SCHW
SHELL INTL FIN B V 3.4% DUE 08,3.40,8/12/2023,"730,000.00","756,171.30","775,171.84",	Energy: Oil and gas,1,NYSE: RDS.A (Class A)
SHERWIN-WILLIAMS CO 2.75% DUE,2.75,6/1/2022,"9,000.00","8,978.22","9,174.67",Paint and coating manufacturing,0,	NYSE: SHW
SIMON PPTY GROUP L P 2.35% DUE,2.35,1/30/2022,"170,000.00","169,442.40","171,153.56",        Real estate investment trust,0,	NYSE: SPG
SIMON PPTY GROUP L P 2.75%,2.75,6/1/2023,"420,000.00","429,111.00","435,878.23",        Real estate investment trust,0,	NYSE: SPG
SOUTHWESTERN PUBLIC SERVICE CO,3.30,6/15/2024,"450,000.00","487,903.50","477,727.95","Electricity, Steam and Natural Gas Utility",1,	Nasdaq: XEL
STARBUCKS CORP 1.3% DUE 05-07-,1.30,5/7/2022,"45,000.00","44,969.85","45,407.51",	Coffee shop,0,	Nasdaq: SBUX
STATE STR CORP 2.354% DUE,2.35,11/1/2025,"410,000.00","436,264.60","430,930.82",Financial services,0,NYSE: STT
STATOIL ASA FORMERLY STATOIL A,2.65,1/15/2024,"220,000.00","229,867.00","231,342.32",	Oil and gas,1,NYSE: EQNR
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
SUMITOMO MITSUI FINANCIAL GROU,0.98,10/16/2023,"360,000.00","360,000.00","364,168.80",	Financial services,0,NYSE: SMFG
SUMITOMO MITSUI FINL GROUP INC,1.47,7/8/2025,"200,000.00","204,320.00","201,965.12",	Financial services,0,NYSE: SMFG
SUMITOMO MITSUI FINL GROUP INC,2.78,7/12/2022,"215,000.00","214,920.45","220,493.96",	Financial services,0,NYSE: SMFG
SUNTRUST BK ATLANTA GA MEDIUM,3.50,8/2/2022,"135,000.00","135,000.00","135,358.33",	Banking,0,NA
SUTTER HEALTH 1.321% DUE,1.32,8/15/2025,"145,000.00","145,000.00","145,896.02",Healthcare,0,NA
TORONTO DOMINION BK SR MEDIUM,0.75,6/12/2023,"120,000.00","119,911.20","120,828.68",	Financial services,0,NYSE: TD
TORONTO-DOMINION BANK 2.65%,2.65,6/12/2024,"130,000.00","129,981.80","137,601.50",	Financial services,0,NYSE: TD
TOTAL CAP INTL 2.434% DUE,2.43,1/10/2025,"170,000.00","171,791.80","178,626.22",Energy: Oil and gas,1,	Euronext Paris: TTE
TOTAL CAP INTL 2.7% DUE 01-25-,2.70,1/25/2023,"160,000.00","164,107.20","165,767.87",Energy: Oil and gas,1,	Euronext Paris: TTE
TOYOTA MTR CORP .681% DUE,0.68,3/25/2024,"410,000.00","410,000.00","410,694.38",	Automotive,0,NYSE: TM
TOYOTA MTR CORP 2.157% DUE,2.16,7/2/2022,"130,000.00","130,000.00","132,501.22",	Automotive,0,NYSE: TM
TOYOTA MTR CR CORP MEDIUM TERM,1.35,8/25/2023,"115,000.00","114,957.45","117,278.25",	Automotive,0,NYSE: TM
TSMC GLOBAL LTD .75% DUE,0.75,9/28/2025,"400,000.00","398,574.00","391,216.00",Semiconductors,0,NYSE: TSM
TYCO ELECTRONICS GROUP S A 3.4,3.45,8/1/2024,"150,000.00","153,741.00","160,732.13",Electronics industry,0,	NYSE: TEL
UBS GROUP AG 1.008% DUE,1.01,7/30/2024,"250,000.00","250,000.00","251,800.44","	Banking, Financial services",0,NYSE: UBS
UBS GROUP FDG SWITZ AG NT FLTG,1.11,8/15/2023,"345,000.00","345,000.00","348,039.62","	Banking, Financial services",0,NYSE: UBS
UNION PAC CORP 3.5% DUE,3.50,6/8/2023,"300,000.00","310,491.00","317,460.70",Transportation,0,	NYSE: UNP
UNITED PARCEL SVC INC 2.5% DUE,2.50,4/1/2023,"210,000.00","208,374.60","217,605.46",	Courier,0,NYSE: UPS
UNITED TECHNOLOGIES CORP 3.65%,3.65,8/16/2023,"6,000.00","6,001.16","6,367.15",	Conglomerate,0,NYSE: UTX
UNITEDHEALTH GROUP INC 1.25% D,1.25,1/15/2026,"140,000.00","139,458.20","141,295.26","	Managed healthcare
Insurance",0,	NYSE: UNH
VENTAS REALTY LIMITED PARTNERS,2.65,1/15/2025,"90,000.00","89,508.60","94,658.49","	Real estate investment trust
Health care",0,	NYSE: VTR
VERIZON COMMUNICATIONS 3.376%,3.38,2/15/2025,"260,000.00","285,792.00","282,452.08","	Telecommunications
Mass media",0,NYSE: VZ
VERIZON COMMUNICATIONS INC .75,0.75,3/22/2024,"160,000.00","159,990.40","160,687.64","	Telecommunications
Mass media",0,NYSE: VZ
VIRGINIA ELEC & POWER CO,2.75,3/15/2023,"220,000.00","228,230.20","227,616.96",Electric utility,1,	NYSE: D
VULCAN MATLS CO 4.5% DUE,4.50,4/1/2025,"80,000.00","90,164.00","89,030.80",Construction materials,0,NYSE: D
WASTE MGMT INC DEL 2.4% DUE,2.40,5/15/2023,"200,000.00","198,292.00","206,845.48",Waste management,0,NYSE: WM
WEC ENERGY GROUP INC 0.8% DUE,0.80,3/15/2024,"390,000.00","390,201.10","390,899.45",	Diversified utilities,1,NYSE: WEC
WESTPAC BKG CORP 1.1295% DUE 0,0.91,2/26/2024,"260,000.00","260,000.00","264,009.49","	Banking, financial services",0,S&P/ASX 200 
WILLIAMS PARTNERS L P 3.9% DUE,3.90,1/15/2025,"80,000.00","87,856.00","87,480.48",Petroleum,1,NYSE: WMB
YALE UNIV FIXED .873% DUE 04-1,0.87,4/15/2025,"530,000.00","530,000.00","533,195.92",Education,0,NA
ZARAPITO LEASING LLC 2.702% DU,2.70,8/20/2026,"628,305.64","666,381.60","660,483.32",Property,0,NA
Municipal Bonds,,,,,,,,
ALAMEDA CNTY CALIF 4.0% DUE 08,4.00,8/1/2021,"500,000.00","515,560.00","501,552.25",,,
ARKANSAS ST 2.875% DUE 06-01-2,2.88,6/1/2022,"600,000.00","617,994.00","614,346.18",,,
BALTIMORE CNTY MD 1.613% DUE 0,1.61,7/1/2021,"560,000.00","539,963.20","560,000.00",,,
BALTIMORE CNTY MD 2.247% DUE 0,2.25,8/1/2022,"330,000.00","335,544.00","336,940.86",,,
COLLIN CNTY TEX .402% DUE 02-1,0.40,2/15/2023,"610,000.00","610,000.00","610,000.00",,,
CROWLEY TEX INDPT SCH DIST ZER,0.00,8/1/2022,"570,000.00","542,098.50","568,365.98",,,
DENISON TEX INDPT SCH DIST ZER,0.00,8/1/2023,"460,000.00","433,724.80","450,889.19",,,
FLA WTR POLLUTION CTL FING COR,1.90,1/15/2022,"245,000.00","244,855.45","247,224.60",,,
FORT WORTH TEX INDPT SCH DIST,0.00,2/15/2025,"500,000.00","572,095.00","574,569.25",,,
HAWAII ST .802% DUE 10-01-2024,0.80,10/1/2024,"660,000.00","660,000.00","661,889.32",,,
HAYS TEX CONS INDPT SCH DIST 5,5.00,8/15/2022,"500,000.00","543,845.00","526,937.40",,,
HOWELL MICH PUB SCHS .97% DUE,0.97,5/1/2025,"445,000.00","445,000.00","444,547.66",,,
LEE CNTY FLA WTR & SWR REV 1.8,1.89,10/1/2022,"330,000.00","330,000.00","336,956.07",,,
LIBERTY CALIF UN HIGH SCH DIST,0.65,8/1/2024,"235,000.00","235,000.00","233,885.87",,,
LINN CNTY ORE CMNTY SCH DIST N,2.07,6/15/2023,"395,000.00","395,000.00","406,213.50",,,
LOUISIANA ST .84% DUE 06-01-20,0.84,6/1/2025,"305,000.00","305,000.00","305,881.08",,,
MARYLAND ST CMNTY DEV ADMIN DE,3.24,9/1/2048,"105,000.00","105,000.00","109,229.15",,,
MICHIGAN FIN AUTH REV 2.308% D,2.31,12/1/2024,"440,000.00","440,000.00","460,192.48",,,
NEW YORK ST TAXABLE-SER B .35%,0.35,3/15/2023,"400,000.00","400,000.00","400,249.28",,,
NEW YORK ST URBAN DEV CORP REV,3.20,3/15/2022,"400,000.00","398,468.00","408,200.60",,,
OREGON ST 1.707% DUE 05-01-202,1.71,5/1/2022,"415,000.00","415,000.00","420,498.71",,,
SAN JOSE CALIF REDEV AGY SUCCE,2.63,8/1/2022,"510,000.00","510,000.00","522,664.37",,,
SANTA ANA CALIF CMNTY REDEV AG,3.35,9/1/2021,"200,000.00","200,000.00","201,042.36",,,
SIOUX FALLS S D SCH DIST NO 49,0.56,8/1/2024,"280,000.00","280,000.00","279,470.16",,,
UTAH ST 3.539% DUE 07-01-2025,3.54,7/1/2025,"500,000.00","532,580.00","533,618.70",,,
WISCONSIN ST .65% DUE 05-01-20,0.65,5/1/2025,"295,000.00","295,000.00","293,587.86",,,
WISCONSIN ST GEN FD ANNUAL APP,1.72,5/1/2022,"255,000.00","255,000.00","258,256.48",,,
U.S. Agency Bonds,,,,,,,,
EQUINOR ASA 1.75% DUE 01-22-20,1.75,1/22/2026,"30,000.00","29,879.70","30,892.87",,,
FEDERAL HOME LN MTG CORP POOL,2.00,6/1/2042,"6,501.82","6,716.92","6,501.71",,,
FEDERAL HOME LN MTG CORP POOL,2.56,7/1/2042,"15,832.58","16,339.10","15,886.85",,,
FEDERAL HOME LN MTG CORP POOL,2.24,9/1/2045,"504,165.85","515,332.34","522,988.13",,,
FEDERAL HOME LN MTG CORP POOL,2.00,5/1/2042,"31,007.01","31,956.59","31,145.17",,,
FEDERAL HOME LN MTG CORP POOL,2.16,6/1/2042,"34,803.42","35,823.05","36,234.53",,,
FEDERAL HOME LN MTG CORP POOL,2.38,7/1/2042,"16,763.02","17,236.44","17,465.23",,,
FEDERAL HOME LN MTG CORP POOL,2.50,8/1/2042,"6,834.07","7,040.68","6,836.35",,,
FEDERAL HOME LN MTG CORP POOL,2.25,10/1/2042,"56,909.14","58,534.15","59,880.73",,,
FEDERAL HOME LN MTG CORP POOL,2.18,11/1/2042,"70,115.61","71,901.37","73,802.41",,,
FEDERAL HOME LN MTG CORP POOL,2.35,12/1/2042,"944,650.13","968,635.39","997,106.23",,,
FEDERAL HOME LN MTG CORP POOL,3.11,11/1/2044,"84,646.45","85,565.65","88,394.87",,,
FEDERAL HOME LN MTG CORP POOL,2.45,8/1/2045,"255,778.05","261,433.77","266,773.63",,,
FEDERAL HOME LN MTG CORP POOL,2.84,1/1/2046,"187,587.93","187,841.51","196,336.84",,,
FEDERAL HOME LN MTG CORP POOL,2.81,2/1/2046,"242,895.62","244,851.84","254,949.89",,,
FEDERAL HOME LN MTG CORP POOL,2.23,10/1/2046,"690,018.56","704,851.99","713,850.98",,,
FEDERAL HOME LN MTG CORP POOL,2.49,11/1/2046,"374,827.47","384,666.70","389,206.13",,,
FEDERAL HOME LN MTG CORP POOL,2.77,11/1/2047,"384,245.90","390,039.59","400,944.92",,,
FEDERAL HOME LN MTG CORP POOL,3.34,6/1/2049,"355,159.56","362,850.50","371,426.13",,,
FEDERAL HOME LN MTG CORP POOL,2.80,2/1/1950,"381,852.34","390,503.68","400,151.44",,,
FEDERAL HOME LN MTG CORP POOL,2.16,6/1/1950,"626,741.75","649,657.00","650,954.75",,,
FEDERAL HOME LN MTG CORP POOL,2.34,6/1/1950,"628,780.26","655,208.67","655,437.64",,,
FEDERAL HOME LN MTG CORP POOL,2.39,3/1/2047,"105,741.14","105,485.90","110,059.97",,,
FEDERAL HOME LN MTG CORP POOL,3.00,10/1/2026,"595,246.38","617,847.14","630,136.88",,,
FEDERAL HOME LN MTG CORP POOL,3.00,5/1/2027,"12,073.03","12,691.29","12,806.40",,,
FEDERAL HOME LN MTG CORP SER Q,2.76,1/25/2046,"61,058.07","61,969.43","60,928.38",,,
FEDERAL NATL MTG ASSN GTD MTG,3.50,3/1/2027,"14,496.40","15,257.44","15,662.79",,,
FEDERAL NATL MTG ASSN GTD MTG,2.03,5/1/2042,"64,136.44","66,183.29","67,052.81",,,
FHLMC MULTICLASS SER 21-1 CL T,2.50,9/25/1960,"681,255.00","709,722.67","707,737.43",,,
FHLMC POOL #2B-4166 ADJ RT 05-,2.63,5/1/2045,"173,172.58","177,745.41","180,507.24",,,
FHLMC POOL #QN-3637 2.0%,2.00,9/1/2035,"1,267,601.07","1,324,544.10","1,312,471.69",,,
FHLMC POOL #QN1525 3.0% 02-01-,3.00,2/1/2035,"585,129.69","604,694.97","615,944.33",,,
FHLMC POOL 2B5188 ADJ RT,2.85,3/1/2046,"166,650.14","167,483.67","174,615.56",,,
FNMA POOL #735383 5.0% DUE 04-,5.00,4/1/2035,"280,959.60","304,643.63","320,942.12",,,
