Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker,
PVTPL SIEMENS FINANCIERINGSMAA,0.40,3/11/2023,"694,000.00","693,625.24","694,633.89",Financial services,0,FWB:SIE,
PVTPL SOUTHERN NAT GAS CO L L,0.63,4/28/2023,"75,000.00","74,988.00","75,070.50",Natural Gas,1,,
PVTPL UBS AG LONDON .375% 06-0,0.38,6/1/2023,"277,000.00","276,703.61","276,712.62","Banking, Financial services",0,NYSE: UBS,
PVTPL UBS AG LONDON BRH NT 144,1.75,4/21/2022,"3,187,000.00","3,246,282.77","3,222,687.90","Banking, Financial services",0,NYSE: UBS,
PVTPL VOLKSWAGEN GROUP AMER FI,2.90,5/13/2022,"1,420,000.00","1,426,049.20","1,450,143.22",automotive,0,FWB: VOW,
PVTPL VOLKSWAGEN GROUP AMER FI,2.50,9/24/2021,"287,000.00","288,684.69","288,425.34",automotive,0,FWB: VOW,
RABOBANK NEDERLAND UTREC 3.875,3.88,2/8/2022,"367,000.00","375,504.44","375,142.18",Financial services,0,,
RAYTHEON TECHNOLOGIES CORP 2.5,2.50,12/15/2022,"664,000.00","683,156.40","681,104.41",AerospaceDefenseInformation SecurityElectronics,0,NYSE: RTX,
ROPER INDS INC NEW 3.125% DUE,3.13,11/15/2022,"847,000.00","879,869.41","872,438.78",Conglomerate,0,NYSE: ROP,
ROYAL BANK OF CANADA 1.95% DUE,1.95,1/17/2023,"467,000.00","478,759.06","478,586.27",Financial services,0,NYSE: RY,
ROYAL BANK OF CANADA FLTG RT M,0.47,10/26/2023,"1,170,000.00","1,170,000.00","1,176,727.50",Financial services,0,NYSE: RY,
ROYAL BK CDA FLTG RT,0.65,4/29/2022,"1,095,000.00","1,099,801.58","1,099,411.76",Financial services,0,NYSE: RY,
ROYAL BK SCOTLAND GROUP PLC 3.,3.50,5/15/2023,"2,400,000.00","2,463,456.00","2,462,494.94",Finance and insurance,0,,
RYDER SYS INC MEDIUM TERM NTS,3.45,11/15/2021,"1,292,000.00","1,329,700.56","1,303,300.94",Transportation,0,NYSE: R,
SCHWAB CHARLES CORP FLTG DUE 0,0.55,3/18/2024,"2,754,000.00","2,766,731.58","2,773,994.04",Financial services,0,NYSE: SCHW,
STANDARD CHARTERED PLC 1.26571,1.27,10/14/2023,"1,208,000.00","1,220,394.08","1,220,059.46","Banking, Financial services",0,NSE: STAN,
STANDARD CHARTERED PLC 4.247%,4.25,1/20/2023,"2,185,000.00","2,246,005.20","2,229,541.05","Banking, Financial services",0,NSE: STAN,
SUMITOMO MITSUI BKG SR NT 3.2%,3.20,7/18/2022,"1,650,000.00","1,718,656.50","1,699,791.89",Financial services,0,NYSE: SMFG,
SUMITOMO MITSUI FINL GROUP INC,2.44,10/19/2021,"184,000.00","185,389.20","185,233.73",Financial services,0,NYSE: SMFG,
SUMITOMO MITSUI FINL GROUP INC,2.78,7/12/2022,"1,136,000.00","1,167,978.42","1,165,028.55",Financial services,0,NYSE: SMFG,
TORONTO DOMINION BANK,0.50,1/27/2023,"1,299,000.00","1,299,000.00","1,305,720.25",Financial services,0,NYSE: TD,
TORONTO DOMINION BK,1.80,7/13/2021,"206,000.00","206,185.40","206,102.34",Financial services,0,NYSE: TD,
TORONTO DOMINION BK SR MEDIUM,0.25,1/6/2023,"2,876,000.00","2,873,467.92","2,873,180.05",Financial services,0,NYSE: TD,
TORONTO DOMINION BK SR MEDIUM,0.26,1/6/2023,"1,051,000.00","1,050,806.61","1,051,764.37",Financial services,0,NYSE: TD,
TOYOTA MTR CR CORP MEDIUM TERM,2.70,1/11/2023,"227,000.00","235,566.98","235,204.81",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.45,7/22/2022,"679,000.00","678,579.02","680,918.35",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.30,2/14/2022,"895,000.00","895,000.00","895,753.81",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.35,10/14/2022,"1,065,000.00","1,064,052.15","1,066,491.97",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.35,1/11/2024,"632,000.00","632,000.00","634,017.38",automotive,0,NYSE: TM,
TOYOTA MTR CR CORP MEDIUM TERM,0.40,4/6/2023,"577,000.00","576,532.63","577,153.87",automotive,0,NYSE: TM,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,,
U S BK NATL ASSN CIN OH MEDIUM,0.26,6/2/2023,"1,942,000.00","1,942,000.00","1,942,019.42","Banking, Financial services",0,NYSE: USB,
VOLKSWAGEN GROUP AMER FIN LLC,0.75,11/23/2022,"298,000.00","297,853.98","299,052.75",Automotive,0,,
WELLS FARGO BK N A SAN FRANCIS,2.08,9/9/2022,"529,000.00","533,343.09","530,763.86",Financial services,0,NYSE: WFC,
WESTPAC BANKING CORPORATION 2.,2.50,6/28/2022,"1,000,000.00","1,023,400.00","1,022,478.29",Financial services,0,ASX: WBC,
U.S. Treasury Securities,,,,,,,,,
UNITED STATES TREAS NTS 2.875%,2.88,10/15/2021,"9,700,000.00","9,977,738.29","9,779,200.02",,,,
UNITED STATES TREAS NTS DTD 06,1.75,6/15/2022,"18,100,000.00","18,600,578.13","18,384,933.64",,,,
UNITED STS TREAS NTS,0.13,9/30/2022,"18,300,000.00","18,300,000.00","18,297,140.63",,,,
US TREASURY N/B .125% DUE 05-3,0.13,5/31/2023,"5,700,000.00","5,684,414.06","5,687,753.89",,,,
International Government Bonds,,,,,,,,,
INTERNATIONAL BK FOR RECON & D,0.13,4/20/2023,"2,700,000.00","2,694,816.00","2,693,682.00",,,,
SWEDISH EXPT CR CORP FLTG,1.02,5/25/2023,"510,000.00","519,404.40","518,231.40",,,,
Cash & Cash Equivalents,,,,,,,,,
CASH ACCOUNT (ADJUSTMENT),,,,,,,,,
NTC INST FUNDS-GOVT SELECT,0.01,,,,,,,,
Account Totals - JP Morgan Managed Reserves,,,,,,,,,
